Title,Company,Location,City,Governorate,Country
Reporting And Advanced Analytics Analyst,Henkel,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Graduate Data Analyst/Scientist,Skill Farm,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Data Analyst,R4S Recruitment,Egypt,Egypt,,
Data Analyst,Infomineo,"Cairo, Egypt",Cairo, Egypt,
Data Management Engineer (Data Visualization),e-finance,"Giza, Al Jizah, Egypt",Giza, Al Jizah, Egypt
Data Engineer I,Breadfast,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Business Intelligence Analyst,"Nalco Water, An Ecolab Company","Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
IT Support Analyst,WPP,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Data Engineer II,Breadfast,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Marketing Data Analyst,Canonical,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Marketing Data Analyst,Canonical,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Remote Python Data Science Analyst,Turing,Egypt,Egypt,,
Remote Data Science Analyst (Python),Turing,Egypt,Egypt,,
Laboratory Analyst - Quality,Al Ahram Beverages Company,"El Obour, Al Qalyubiyah, Egypt",El Obour, Al Qalyubiyah, Egypt
Remote Data Science Analyst (Python),Turing,Egypt,Egypt,,
Remote Data Science Analyst,Turing,Egypt,Egypt,,
Remote Data Science Analyst,Turing,Egypt,Egypt,,
Remote Data Science Analyst,Turing,Egypt,Egypt,,
Data Acquisition Engineer,Affectiva,"New Cairo, Cairo, Egypt",New Cairo, Cairo, Egypt
Data Acquisition Engineer,Affectiva,"New Heliopolis, Cairo, Egypt",New Heliopolis, Cairo, Egypt
Remote Data Science Analyst,Turing,Egypt,Egypt,,
System Engineer,Naseej,"New Cairo, Cairo, Egypt",New Cairo, Cairo, Egypt
Performance Analyst,MaxAB,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Cloud Support Associate Engineer,Canonical,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Cloud Support Associate Engineer,Canonical,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Odoo Developer,Suplyd,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Remote Python Analyst,Turing,Egypt,Egypt,,
Remote Python Analyst,Turing,Egypt,Egypt,,
Remote Python Analyst,Turing,Egypt,Egypt,,
Remote Python Analyst,Turing,Egypt,Egypt,,
Risk & Quality - Information Security Analyst- Associate,PwC Middle East,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Oracle (Forms & Reports) Developer,IT-Fusion Software House,"Qesm El Maadi, Cairo, Egypt",Qesm El Maadi, Cairo, Egypt
Remote Python Analyst,Turing,Egypt,Egypt,,
IAM Engineer,Orange Egypt,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Application Development Specialist,Network International,"New Cairo, Cairo, Egypt",New Cairo, Cairo, Egypt
Oracle Developer,Ajwa for Food Industries Co Egypt,"Cairo, Egypt",Cairo, Egypt,
Junior Localization Engineer,Bayantech,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Power Platform Developer,Henkel,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
AI Flow Developer,IST Networks,"Cairo, Egypt",Cairo, Egypt,
Junior Linux Kernel Engineer - Ubuntu,Canonical,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Research and Development Engineer,ELSEWEDY ELECTRIC,"Sharkia, Egypt",Sharkia, Egypt,
Bubble Developer,Squadio,Egypt,Egypt,,
Junior Linux Kernel Engineer - Ubuntu,Canonical,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Senior Data Engineer,Valeo,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
BPM Developer,DXC Technology,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Remote Python Engineer,Turing,Egypt,Egypt,,
Remote Python Engineer,Turing,Egypt,Egypt,,
Senior Data Engineer,Valeo,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Remote Python Engineer,Turing,Egypt,Egypt,,
Remote Python Engineer,Turing,Egypt,Egypt,,
Remote Python Engineer,Turing,Egypt,Egypt,,
Remote Python Engineer,Turing,Egypt,Egypt,,
Web Developer,Yalla Kafala,"Cairo, Egypt",Cairo, Egypt,
Remote Python Engineer,Turing,Egypt,Egypt,,
Remote Python Engineer,Turing,Egypt,Egypt,,
Remote Python Programmer,Turing,Egypt,Egypt,,
Remote Python Programmer,Turing,Egypt,Egypt,,
Remote Python Engineer,Turing,Egypt,Egypt,,
Security Engineer - Ubuntu,Canonical,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Remote Python Engineer,Turing,Egypt,Egypt,,
Odoo Developer,Suplyd,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Remote Python Analyst,Turing,Egypt,Egypt,,
Remote Python Analyst,Turing,Egypt,Egypt,,
Remote Python Analyst,Turing,Egypt,Egypt,,
Remote Python Analyst,Turing,Egypt,Egypt,,
Risk & Quality - Information Security Analyst- Associate,PwC Middle East,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Oracle (Forms & Reports) Developer,IT-Fusion Software House,"Qesm El Maadi, Cairo, Egypt",Qesm El Maadi, Cairo, Egypt
Remote Python Analyst,Turing,Egypt,Egypt,,
IAM Engineer,Orange Egypt,"Cairo, Cairo, Egypt",Cairo, Cairo, Egypt
Application Development Specialist,Network International,"New Cairo, Cairo, Egypt",New Cairo, Cairo, Egypt
